CLUSTER APOGEE_ID RA DEC NO_SIGMAS_RV NO_SIGMAS_PM DIST_CENTER
"NGC 188" 2M00223174+8551121 5.632257 85.853371 23.53738452168707 14.703622778794275 46.060761237784995
"NGC 188" 2M00230801+8449282 5.783382 84.824509 7.405063568465287 inf 40.69931330761329
"NGC 188" 2M00231563+8542536 5.815161 85.714912 inf inf 39.649473787496404
"NGC 188" 2M00234604+8507158 5.941861 85.121063 inf 17.52847007683362 30.809096825020944
"FSR 0494" 2M00234977+6340348 5.957385 63.676353 24.606852298892168 1.3418766828373436 13.057781890273828
"FSR 0494" 2M00241839+6328256 6.076639 63.473801 31.424396670625487 0.6246894438093396 18.948149796161864
"NGC 188" 2M00243191+8509159 6.132983 85.154434 37.433238638862505 17.1332086756345 29.311199048720297
"FSR 0494" 2M00244149+6344347 6.172914 63.742996 3.7186943324958825 1.291165336208229 6.5588750612598945
"FSR 0494" 2M00244484+6353233 6.186852 63.889832 27.23513886814051 9.388470643938115 10.387119178949098
"FSR 0494" 2M00244703+6332578 6.195968 63.549404 20.453580338178725 0.6612532456891339 13.449421993072367
"FSR 0494" 2M00245394+6340553 6.22478 63.682049 9.907815179533783 1.7706905176717282 6.60177559141993
"NGC 188" 2M00245710+8602492 6.237939 86.047005 2.2564683903996694 14.234744692458051 53.897840319590834
"FSR 0494" 2M00250486+6328156 6.270265 63.471024 12.704779218435077 0.4540141402622738 17.229191187851615
"FSR 0494" 2M00250743+6352480 6.280975 63.880024 11.946190012092325 3.3226862743342545 8.59772497902749
"FSR 0494" 2M00250773+6341202 6.282218 63.688957 5.320096176966049 0.43557308956261653 5.1857986365542645
"FSR 0494" 2M00251367+6348591 6.306972 63.816441 0.024852310185043053 0.9773338090010413 4.958434274311361
"FSR 0494" 2M00251373+6345437 6.30722 63.76215 1.364569231537546 1.566545640516123 3.060318034913201
"FSR 0494" 2M00251423+6338077 6.309323 63.635487 6.752715794978617 0.6029484544236346 7.491912140531192
"FSR 0494" 2M00252192+6337541 6.341344 63.63171 24.009918214825177 2.084558716558468 7.419113268905341
"FSR 0494" 2M00253373+6345239 6.390561 63.756664 0.6049345738493466 0.8994649156985925 0.8538706777539524
"FSR 0494" 2M00253823+6333019 6.409328 63.550549 29.945589186753118 4.9325867376656936 11.994969121033574
"FSR 0494" 2M00253997+6340595 6.416582 63.683212 30.012043598784945 2.558309360828571 4.032877783279201
"NGC 188" 2M00254519+8429329 6.438301 84.492485 inf 7.921710096408017 54.14012318514209
"FSR 0494" 2M00260429+6343040 6.517913 63.717785 11.634896864463407 1.1496836143041163 3.2657190417382904
