NAME CENTER_RA CENTER_DEC RADIUS DISTANCE_APOGEE DISTANCE_DISP_APOGEE LOG_AGE LOG_AGE_ERR M_H M_H_DISP RV_FIT_MEAN RV_FIT_STD RV_FIT_AMP PM_FIT_RA_MEAN PM_FIT_DEC_MEAN PM_FIT_RA_STD PM_FIT_DEC_STD PM_FIT_AMP PM_FIT_THETA PM_FIT_BACKGROUND_SCALE AMP_RESIDUAL_RV NUM_MEMBERS FLAG MG_FE MG_FE_DISP Z R_GC R_GC_ERR SPACE_VEL_DISP SPACE_VEL_DISP_ERR
"CZERNIK 21" 81.68260599284515 36.015109476979966 15.0 2.7471 0.0 9.35 0.0 -0.37143653631210327 0.038644999265670776 44.71190786098947 3.149930684331802 0.03412519311565875 2.138099506823106 -0.9684253697597005 0.5840166661872624 0.5220777020134136 0.08792063375609188 -5.419352005124223 0.7602079724784766 12.353995615302722 6 INSU 0.005556464195251465 0.010087251663208008 0.05799424379365678 11.026234976201376 0.6829082270890889 5.652038267627695 0.974138541699784
"CZERNIK 23" 87.52465055659721 28.899618174615156 8.4 2.3116 2.172110869382336 8.48 0.0 -0.2936195433139801 0.06563833355903625 10.270537429829014 2.069540702232579 0.035207629028799044 0.52239428938299 -1.576193936381781 0.9076663917964851 1.0077430533298994 0.12123980935421257 1.7415931665917312 0.10323567126238284 9.938119753649849 5 GOOD 0.023949438706040382 0.06024814769625664 0.06759696935242412 10.611119876270408 0.5779062201339962 7.143314682403071 1.6359333170911392
"CZERNIK 30" 112.79723728129815 -9.939974667465325 6.0 5.0685 1.0358451694148116 9.2 0.0 -0.23091153800487518 0.18047110736370087 80.51627688433217 5.070970738142438 0.047711419586399434 -0.9251483908423928 0.5680125991563779 0.642846492946307 1.1206492358417215 0.22130691962049445 -3.520454382787589 -0.14030190460764852 11.327822069183501 5 WARN -0.016571294516324997 0.027273433282971382 0.40619762926821507 12.343273733168909 1.1086426349842518 15.153794982974977 3.3642192993247626
"DOLIDZE 16" 78.64987339089915 32.659689928026026 9.0 3.61885 1.1251562480384667 7.6 0.0 -0.27868878841400146 0.10735604166984558 8.811978582651424 2.60461531478384 0.040883696434439676 0.8157344019336108 -2.1443804510269957 1.4931479965100831 0.8763463669063773 0.04664345232968405 8.297328015507405 0.3715132170229231 10.29578363818565 6 GOOD 0.02303145080804825 0.06318349391222 0.18276501294501538 11.895122612238486 0.9021050981935149 13.90946780603328 3.355435238652564
"DOLIDZE 53" 296.5771344055254 24.631799702380917 7.5 4.8586 1.4717000000000002 7.335 0.0 0.11670030653476715 0.14219029247760773 -30.3829537132391 2.14081113439332 0.02633116703964037 -2.7221989571420977 -5.401744644671427 0.7644502945321027 0.5739295188353919 -0.046724930185899786 -9.256493132301069 1.1152726324294349 9.783033055894412 7 WARN -0.00756478076800704 0.0496833361685276 0.010592530497521267 7.300087655272158 0.13711116795076347 10.352230517286843 2.477379251712912
"FSR 0129" 291.74252370443264 13.974674379940355 7.0 3.92705 2.4398917979196444 8.48 0.0 0.02784987911581993 0.1872672587633133 11.666802499655553 2.851923034964816 0.04440334114999849 -2.539771177837733 -5.135470334323327 1.3651422158568318 0.8460590560706837 0.09030129825928208 8.436009967648552 0.2652551650306103 10.158959738175511 7 WARN 0.046302128583192825 0.07194061577320099 0.07259140124289928 6.4719983395412 -0.22380382290141015 14.046893843967604 3.366967882148116
"FSR 0165" 299.51275557051713 26.75446415094501 8.7 3.0116500000000004 0.7555185364297086 6.91 0.0 -0.008000974543392658 0.12165050953626633 9.59906882315669 1.934143944201695 0.048922164809086864 -2.3940654386217473 -4.70868316234335 1.228370473051863 0.7699728561325829 0.07090344953822034 5.132493162614027 0.5252679746108843 13.305708801949173 7 GOOD 0.029600705951452255 0.028321782127022743 0.04496875721419527 7.491434022113372 -0.061767772935884445 9.715987322404837 2.332740200349499
"FSR 0338" 327.9324543819556 55.313387489083475 4.5 3.1757 1.8946479260257694 8.1 0.0 -0.0692586600780487 0.10130926221609116 -97.76274266439628 3.1281744964359164 0.04761524115618472 -2.8388785299348265 -2.3415464032934867 0.7967213510185517 1.4842876547565538 0.06570243413003068 -8.647957605578334 0.3482098108809073 21.279325672319104 11 GOOD -0.005327526014298201 0.0770922303199768 0.08059297108366978 9.35012635458643 0.3827168420829574 12.078783793745313 2.8171615739652145
"FSR 0494" 6.419490326291072 63.750416337983914 9.9 3.73055 0.9940413145337572 9.3 0.0 -0.1787448674440384 0.1807209700345993 -63.01902466395753 2.097382164605442 0.05858539245183527 -1.8201432212781015 -0.3373769551225847 1.2233767953820083 0.8265055112876488 0.06554947513841208 -0.10964973874655475 0.435536260782332 13.308872257680063 8 WARN 0.06164494529366493 0.07770506292581558 0.09955888586245928 10.669490170405568 0.6898163854700222 12.19301203120095 2.9580576579320454
"FSR 1063" 98.65740350629906 -0.26683425973256725 10.5 3.2535499999999997 1.7948909540345341 8.86 0.012 -0.2705654203891754 0.18096646666526794 61.12407546704695 3.745255291614088 0.03366297499157932 -0.1632591388678958 -0.029442307016278653 0.7824763403580234 1.279281611257243 0.06048805133066332 -0.21590881454364289 0.5258088437336674 12.172433839347674 7 WARN 0.02009849064052105 0.039586279541254044 0.18305910318183102 11.20311050123818 0.7513935257733202 11.280047555498173 2.509132499174492
